,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
0,P20_E20_S200_PosCL_H75,20,20,200,CL,2.32817,1.76612,16,2.8,0.83
1,P20_E20_S200_PosEL_H75,20,20,200,EL,5.85966,1.05679,16,2.8,2.09
2,P20_E20_S200_PosIL_H75,20,20,200,IL,4.2366,0.534504,16,2.8,1.51
3,P20_E20_S225_PosCL_H75,20,20,225,CL,2.31001,1.71558,16,2.8,0.83
4,P20_E20_S225_PosEL_H75,20,20,225,EL,5.73154,1.04928,16,2.8,2.05
5,P20_E20_S225_PosIL_H75,20,20,225,IL,4.14026,0.531184,16,2.8,1.48
6,P20_E20_S250_PosCL_H75,20,20,250,CL,2.29408,1.67056,16,2.8,0.82
7,P20_E20_S250_PosEL_H75,20,20,250,EL,5.6126,1.04218,16,2.8,2.00
8,P20_E20_S250_PosIL_H75,20,20,250,IL,4.05111,0.528064,16,2.8,1.45
9,P20_E20_S275_PosCL_H75,20,20,275,CL,2.28,1.63009,16,2.8,0.81
10,P20_E20_S275_PosEL_H75,20,20,275,EL,5.5018,1.03547,16,2.8,1.96
11,P20_E20_S275_PosIL_H75,20,20,275,IL,3.96829,0.525123,16,2.8,1.42
12,P20_E20_S300_PosCL_H75,20,20,300,CL,2.26746,1.59346,16,2.8,0.81
13,P20_E20_S300_PosEL_H75,20,20,300,EL,5.39827,1.02911,16,2.8,1.93
14,P20_E20_S300_PosIL_H75,20,20,300,IL,3.89112,0.522345,16,2.8,1.39
15,P22.5_E20_S200_PosCL_H75,20,22.5,200,CL,2.32817,1.76612,16,2.8,0.83
16,P22.5_E20_S200_PosEL_H75,20,22.5,200,EL,6.35421,1.12361,16,2.8,2.27
17,P22.5_E20_S200_PosIL_H75,20,22.5,200,IL,4.66374,0.555412,16,2.8,1.67
