,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
0,P20_E20_S200_PosCL_H150,20,20,200,CL,0.57751,0.828087,16,2.8,0.21
1,P20_E20_S200_PosEL_H150,20,20,200,EL,1.72761,0.538415,16,2.8,0.62
2,P20_E20_S200_PosIL_H150,20,20,200,IL,1.25415,0.403849,16,2.8,0.45
3,P20_E20_S225_PosCL_H150,20,20,225,CL,0.575276,0.820615,16,2.8,0.21
4,P20_E20_S225_PosEL_H150,20,20,225,EL,1.71907,0.537923,16,2.8,0.61
5,P20_E20_S225_PosIL_H150,20,20,225,IL,1.24761,0.403593,16,2.8,0.45
6,P20_E20_S250_PosCL_H150,20,20,250,CL,0.573109,0.813412,16,2.8,0.20
7,P20_E20_S250_PosEL_H150,20,20,250,EL,1.71066,0.537436,16,2.8,0.61
8,P20_E20_S250_PosIL_H150,20,20,250,IL,1.24116,0.403339,16,2.8,0.44
9,P20_E20_S275_PosCL_H150,20,20,275,CL,0.571007,0.806463,16,2.8,0.20
10,P20_E20_S275_PosEL_H150,20,20,275,EL,1.70237,0.536956,16,2.8,0.61
11,P20_E20_S275_PosIL_H150,20,20,275,IL,1.23481,0.403089,16,2.8,0.44
12,P20_E20_S300_PosCL_H150,20,20,300,CL,0.568967,0.799753,16,2.8,0.20
13,P20_E20_S300_PosEL_H150,20,20,300,EL,1.69421,0.536482,16,2.8,0.61
14,P20_E20_S300_PosIL_H150,20,20,300,IL,1.22855,0.402841,16,2.8,0.44
15,P22.5_E20_S200_PosCL_H150,20,22.5,200,CL,0.639786,0.835524,16,2.8,0.23
16,P22.5_E20_S200_PosEL_H150,20,22.5,200,EL,1.89395,0.555835,16,2.8,0.68
17,P22.5_E20_S200_PosIL_H150,20,22.5,200,IL,1.4006,0.41996,16,2.8,0.50
18,P22.5_E20_S225_PosCL_H150,20,22.5,225,CL,0.637335,0.827522,16,2.8,0.23
19,P22.5_E20_S225_PosEL_H150,20,22.5,225,EL,1.88445,0.555263,16,2.8,0.67
20,P22.5_E20_S225_PosIL_H150,20,22.5,225,IL,1.39327,0.419666,16,2.8,0.50
21,P22.5_E20_S250_PosCL_H150,20,22.5,250,CL,0.634953,0.819808,16,2.8,0.23
22,P22.5_E20_S250_PosEL_H150,20,22.5,250,EL,1.87509,0.554699,16,2.8,0.67
23,P22.5_E20_S250_PosIL_H150,20,22.5,250,IL,1.38606,0.419375,16,2.8,0.50
24,P22.5_E20_S275_PosCL_H150,20,22.5,275,CL,0.63264,0.812366,16,2.8,0.23
25,P22.5_E20_S275_PosEL_H150,20,22.5,275,EL,1.86588,0.554142,16,2.8,0.67
26,P22.5_E20_S275_PosIL_H150,20,22.5,275,IL,1.37894,0.419087,16,2.8,0.49
27,P22.5_E20_S300_PosCL_H150,20,22.5,300,CL,0.63039,0.80518,16,2.8,0.23
28,P22.5_E20_S300_PosEL_H150,20,22.5,300,EL,1.85681,0.553592,16,2.8,0.66
29,P22.5_E20_S300_PosIL_H150,20,22.5,300,IL,1.37194,0.418803,16,2.8,0.49
30,P25_E20_S200_PosCL_H150,20,25,200,CL,0.691754,0.911461,16,2.8,0.25
31,P25_E20_S200_PosEL_H150,20,25,200,EL,2.03059,0.573215,16,2.8,0.73
32,P25_E20_S200_PosIL_H150,20,25,200,IL,1.53401,0.415739,16,2.8,0.55
33,P25_E20_S225_PosCL_H150,20,25,225,CL,0.689007,0.902932,16,2.8,0.25
34,P25_E20_S225_PosEL_H150,20,25,225,EL,2.02019,0.572579,16,2.8,0.72
35,P25_E20_S225_PosIL_H150,20,25,225,IL,1.52585,0.415493,16,2.8,0.54
36,P25_E20_S250_PosCL_H150,20,25,250,CL,0.686336,0.894709,16,2.8,0.25
37,P25_E20_S250_PosEL_H150,20,25,250,EL,2.00995,0.571951,16,2.8,0.72
38,P25_E20_S250_PosIL_H150,20,25,250,IL,1.51782,0.41525,16,2.8,0.54
39,P25_E20_S275_PosCL_H150,20,25,275,CL,0.683737,0.886777,16,2.8,0.24
40,P25_E20_S275_PosEL_H150,20,25,275,EL,1.99986,0.571331,16,2.8,0.71
41,P25_E20_S275_PosIL_H150,20,25,275,IL,1.50991,0.415011,16,2.8,0.54
42,P25_E20_S300_PosCL_H150,20,25,300,CL,0.681208,0.879119,16,2.8,0.24
43,P25_E20_S300_PosEL_H150,20,25,300,EL,1.98993,0.570718,16,2.8,0.71
44,P25_E20_S300_PosIL_H150,20,25,300,IL,1.50212,0.414775,16,2.8,0.54
45,P27.5_E20_S200_PosCL_H150,20,27.5,200,CL,0.755119,0.951284,16,2.8,0.27
46,P27.5_E20_S200_PosEL_H150,20,27.5,200,EL,2.16681,0.591528,16,2.8,0.77
47,P27.5_E20_S200_PosIL_H150,20,27.5,200,IL,1.65536,0.426646,16,2.8,0.59
48,P27.5_E20_S225_PosCL_H150,20,27.5,225,CL,0.752491,0.942122,16,2.8,0.27
49,P27.5_E20_S225_PosEL_H150,20,27.5,225,EL,2.15563,0.590798,16,2.8,0.77
50,P27.5_E20_S225_PosIL_H150,20,27.5,225,IL,1.64653,0.426362,16,2.8,0.59
51,P27.5_E20_S250_PosCL_H150,20,27.5,250,CL,0.749927,0.93329,16,2.8,0.27
52,P27.5_E20_S250_PosEL_H150,20,27.5,250,EL,2.14461,0.590078,16,2.8,0.77
53,P27.5_E20_S250_PosIL_H150,20,27.5,250,IL,1.63784,0.426082,16,2.8,0.58
54,P27.5_E20_S275_PosCL_H150,20,27.5,275,CL,0.747426,0.92477,16,2.8,0.27
55,P27.5_E20_S275_PosEL_H150,20,27.5,275,EL,2.13376,0.589368,16,2.8,0.76
56,P27.5_E20_S275_PosIL_H150,20,27.5,275,IL,1.62927,0.425805,16,2.8,0.58
57,P27.5_E20_S300_PosCL_H150,20,27.5,300,CL,0.744983,0.916544,16,2.8,0.27
58,P27.5_E20_S300_PosEL_H150,20,27.5,300,EL,2.12308,0.588666,16,2.8,0.76
59,P27.5_E20_S300_PosIL_H150,20,27.5,300,IL,1.62083,0.425532,16,2.8,0.58
60,P30_E20_S200_PosCL_H150,20,30,200,CL,0.813097,0.972202,16,2.8,0.29
61,P30_E20_S200_PosEL_H150,20,30,200,EL,2.30972,0.613139,16,2.8,0.82
62,P30_E20_S200_PosIL_H150,20,30,200,IL,1.79774,0.441121,16,2.8,0.64
63,P30_E20_S225_PosCL_H150,20,30,225,CL,0.810196,0.962899,16,2.8,0.29
64,P30_E20_S225_PosEL_H150,20,30,225,EL,2.29758,0.612335,16,2.8,0.82
65,P30_E20_S225_PosIL_H150,20,30,225,IL,1.78803,0.440797,16,2.8,0.64
66,P30_E20_S250_PosCL_H150,20,30,250,CL,0.807363,0.953931,16,2.8,0.29
67,P30_E20_S250_PosEL_H150,20,30,250,EL,2.28563,0.611541,16,2.8,0.82
68,P30_E20_S250_PosIL_H150,20,30,250,IL,1.77848,0.440478,16,2.8,0.64
69,P30_E20_S275_PosCL_H150,20,30,275,CL,0.804595,0.94528,16,2.8,0.29
70,P30_E20_S275_PosEL_H150,20,30,275,EL,2.27386,0.610758,16,2.8,0.81
71,P30_E20_S275_PosIL_H150,20,30,275,IL,1.76906,0.440163,16,2.8,0.63
72,P30_E20_S300_PosCL_H150,20,30,300,CL,0.80189,0.936928,16,2.8,0.29
73,P30_E20_S300_PosEL_H150,20,30,300,EL,2.26227,0.609984,16,2.8,0.81
74,P30_E20_S300_PosIL_H150,20,30,300,IL,1.75978,0.439852,16,2.8,0.63
75,P20_E25_S200_PosCL_H150,25,20,200,CL,0.581278,0.840722,25,3.5,0.17
76,P20_E25_S200_PosEL_H150,25,20,200,EL,1.74181,0.539224,25,3.5,0.50
77,P20_E25_S200_PosIL_H150,25,20,200,IL,1.26502,0.404269,25,3.5,0.36
78,P20_E25_S225_PosCL_H150,25,20,225,CL,0.579392,0.834347,25,3.5,0.17
79,P20_E25_S225_PosEL_H150,25,20,225,EL,1.73479,0.538821,25,3.5,0.50
80,P20_E25_S225_PosIL_H150,25,20,225,IL,1.25964,0.404059,25,3.5,0.36
81,P20_E25_S250_PosCL_H150,25,20,250,CL,0.577552,0.828164,25,3.5,0.17
82,P20_E25_S250_PosEL_H150,25,20,250,EL,1.72785,0.538422,25,3.5,0.49
