,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
0,P20_E20_S200_PosCL_H100,20,20,200,CL,1.35753,1.33821,16,2.8,0.48
1,P20_E20_S200_PosEL_H100,20,20,200,EL,3.68971,0.757553,16,2.8,1.32
2,P20_E20_S200_PosIL_H100,20,20,200,IL,2.68596,0.453632,16,2.8,0.96
3,P20_E20_S225_PosCL_H100,20,20,225,CL,1.34792,1.31101,16,2.8,0.48
4,P20_E20_S225_PosEL_H100,20,20,225,EL,3.64253,0.75456,16,2.8,1.30
5,P20_E20_S225_PosIL_H100,20,20,225,IL,2.65016,0.452635,16,2.8,0.95
6,P20_E20_S250_PosCL_H100,20,20,250,CL,1.33905,1.28593,16,2.8,0.48
7,P20_E20_S250_PosEL_H100,20,20,250,EL,3.59729,0.751667,16,2.8,1.28
8,P20_E20_S250_PosIL_H100,20,20,250,IL,2.61583,0.451671,16,2.8,0.93
9,P20_E20_S275_PosCL_H100,20,20,275,CL,1.33083,1.2627,16,2.8,0.48
10,P20_E20_S275_PosEL_H100,20,20,275,EL,3.55387,0.748867,16,2.8,1.27
11,P20_E20_S275_PosIL_H100,20,20,275,IL,2.58289,0.450738,16,2.8,0.92
12,P20_E20_S300_PosCL_H100,20,20,300,CL,1.32321,1.24113,16,2.8,0.47
13,P20_E20_S300_PosEL_H100,20,20,300,EL,3.51215,0.746155,16,2.8,1.25
14,P20_E20_S300_PosIL_H100,20,20,300,IL,2.55124,0.449834,16,2.8,0.91
15,P22.5_E20_S200_PosCL_H100,20,22.5,200,CL,1.4685,1.34978,16,2.8,0.52
16,P22.5_E20_S200_PosEL_H100,20,22.5,200,EL,4.01958,0.806468,16,2.8,1.44
17,P22.5_E20_S200_PosIL_H100,20,22.5,200,IL,2.97071,0.477329,16,2.8,1.06
18,P22.5_E20_S225_PosCL_H100,20,22.5,225,CL,1.45759,1.32079,16,2.8,0.52
19,P22.5_E20_S225_PosEL_H100,20,22.5,225,EL,3.96705,0.802983,16,2.8,1.42
20,P22.5_E20_S225_PosIL_H100,20,22.5,225,IL,2.93037,0.47617,16,2.8,1.05
21,P22.5_E20_S250_PosCL_H100,20,22.5,250,CL,1.44747,1.29406,16,2.8,0.52
22,P22.5_E20_S250_PosEL_H100,20,22.5,250,EL,3.91669,0.799614,16,2.8,1.40
23,P22.5_E20_S250_PosIL_H100,20,22.5,250,IL,2.8917,0.47505,16,2.8,1.03
24,P22.5_E20_S275_PosCL_H100,20,22.5,275,CL,1.43805,1.26933,16,2.8,0.51
25,P22.5_E20_S275_PosEL_H100,20,22.5,275,EL,3.86836,0.796356,16,2.8,1.38
26,P22.5_E20_S275_PosIL_H100,20,22.5,275,IL,2.85458,0.473966,16,2.8,1.02
27,P22.5_E20_S300_PosCL_H100,20,22.5,300,CL,1.42927,1.24635,16,2.8,0.51
28,P22.5_E20_S300_PosEL_H100,20,22.5,300,EL,3.82193,0.7932,16,2.8,1.36
29,P22.5_E20_S300_PosIL_H100,20,22.5,300,IL,2.81893,0.472918,16,2.8,1.01
30,P25_E20_S200_PosCL_H100,20,25,200,CL,1.56596,1.47282,16,2.8,0.56
31,P25_E20_S200_PosEL_H100,20,25,200,EL,4.27975,0.850459,16,2.8,1.53
32,P25_E20_S200_PosIL_H100,20,25,200,IL,3.23978,0.474454,16,2.8,1.16
33,P25_E20_S225_PosCL_H100,20,25,225,CL,1.55461,1.44179,16,2.8,0.56
34,P25_E20_S225_PosEL_H100,20,25,225,EL,4.22247,0.846496,16,2.8,1.51
35,P25_E20_S225_PosIL_H100,20,25,225,IL,3.19508,0.473516,16,2.8,1.14
36,P25_E20_S250_PosCL_H100,20,25,250,CL,1.54402,1.4132,16,2.8,0.55
37,P25_E20_S250_PosEL_H100,20,25,250,EL,4.16757,0.842665,16,2.8,1.49
38,P25_E20_S250_PosIL_H100,20,25,250,IL,3.15222,0.472613,16,2.8,1.13
39,P25_E20_S275_PosCL_H100,20,25,275,CL,1.53411,1.38674,16,2.8,0.55
40,P25_E20_S275_PosEL_H100,20,25,275,EL,4.11487,0.838959,16,2.8,1.47
41,P25_E20_S275_PosIL_H100,20,25,275,IL,3.11109,0.471742,16,2.8,1.11
42,P25_E20_S300_PosCL_H100,20,25,300,CL,1.52529,1.36216,16,2.8,0.54
43,P25_E20_S300_PosEL_H100,20,25,300,EL,4.06425,0.83537,16,2.8,1.45
44,P25_E20_S300_PosIL_H100,20,25,300,IL,3.07158,0.470903,16,2.8,1.10
45,P27.5_E20_S200_PosCL_H100,20,27.5,200,CL,1.70247,1.55264,16,2.8,0.61
46,P27.5_E20_S200_PosEL_H100,20,27.5,200,EL,4.55492,0.888548,16,2.8,1.63
47,P27.5_E20_S200_PosIL_H100,20,27.5,200,IL,3.47508,0.491117,16,2.8,1.24
48,P27.5_E20_S225_PosCL_H100,20,27.5,225,CL,1.69034,1.51892,16,2.8,0.60
49,P27.5_E20_S225_PosEL_H100,20,27.5,225,EL,4.4929,0.884103,16,2.8,1.60
50,P27.5_E20_S225_PosIL_H100,20,27.5,225,IL,3.4265,0.490045,16,2.8,1.22
51,P27.5_E20_S250_PosCL_H100,20,27.5,250,CL,1.67898,1.48784,16,2.8,0.60
52,P27.5_E20_S250_PosEL_H100,20,27.5,250,EL,4.43346,0.879812,16,2.8,1.58
53,P27.5_E20_S250_PosIL_H100,20,27.5,250,IL,3.37993,0.489013,16,2.8,1.21
54,P27.5_E20_S275_PosCL_H100,20,27.5,275,CL,1.66831,1.45908,16,2.8,0.60
55,P27.5_E20_S275_PosEL_H100,20,27.5,275,EL,4.37642,0.875664,16,2.8,1.56
56,P27.5_E20_S275_PosIL_H100,20,27.5,275,IL,3.33524,0.488018,16,2.8,1.19
57,P27.5_E20_S300_PosCL_H100,20,27.5,300,CL,1.65828,1.43237,16,2.8,0.59
58,P27.5_E20_S300_PosEL_H100,20,27.5,300,EL,4.32162,0.871651,16,2.8,1.54
59,P27.5_E20_S300_PosIL_H100,20,27.5,300,IL,3.29232,0.487056,16,2.8,1.18
60,P30_E20_S200_PosCL_H100,20,30,200,CL,1.81385,1.56778,16,2.8,0.65
61,P30_E20_S200_PosEL_H100,20,30,200,EL,4.82515,0.933977,16,2.8,1.72
62,P30_E20_S200_PosIL_H100,20,30,200,IL,3.75031,0.510333,16,2.8,1.34
63,P30_E20_S225_PosCL_H100,20,30,225,CL,1.8018,1.53399,16,2.8,0.64
64,P30_E20_S225_PosEL_H100,20,30,225,EL,4.75796,0.92898,16,2.8,1.70
65,P30_E20_S225_PosIL_H100,20,30,225,IL,3.69663,0.509102,16,2.8,1.32
